date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:04:36	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2016:04:36%20GMT	https://validthemes.net/site-template/agrica	/Users/kunozga/websites/agrica/validthemes.net/site-template/agrica.0.delayed	(from )
18:04:36	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64b94017-82f3b5dc6195bc8a;gz%22	https://validthemes.net/robots.txt		(from )
18:04:38	61121/61121	---M-Z	200	added ('OK')	text/html	etag:%22eec1-65fc96b8-cbe222e08607141b;gz%22	https://validthemes.net/site-template/agrica/	/Users/kunozga/websites/agrica/validthemes.net/site-template/agrica/index.html	(from )
18:04:38	4055/4055	---M--	200	added ('OK')	image/png	etag:%22fd7-65fc96b8-4c566cda8cd890db;;;%22	https://validthemes.net/site-template/agrica/assets/img/favicon.png	/Users/kunozga/websites/agrica/validthemes.net/site-template/agrica/assets/img/favicon.png	(from https://validthemes.net/site-template/agrica/)
18:04:39	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%2228021-65fc96b8-a1d6d45f876a02b0;gz%22	https://validthemes.net/site-template/agrica/assets/css/bootstrap.min.css	/Users/kunozga/websites/agrica/validthemes.net/site-template/agrica/assets/css/bootstrap.min.css	(from https://validthemes.net/site-template/agrica/)
18:04:40	174244/174244	---M-Z	200	added ('OK')	text/css	etag:%222a8a4-65fc96b8-cbf9a429cba581a0;gz%22	https://validthemes.net/site-template/agrica/assets/css/font-awesome.min.css	/Users/kunozga/websites/agrica/validthemes.net/site-template/agrica/assets/css/font-awesome.min.css	(from https://validthemes.net/site-template/agrica/)
18:04:41	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-65fc96b8-cd0c471597431b01;gz%22	https://validthemes.net/site-template/agrica/assets/css/magnific-popup.css	/Users/kunozga/websites/agrica/validthemes.net/site-template/agrica/assets/css/magnific-popup.css	(from https://validthemes.net/site-template/agrica/)
18:04:42	8515/8515	---M-Z	200	added ('OK')	text/css	etag:%222143-65fc96b8-93126139a49c337b;gz%22	https://validthemes.net/site-template/agrica/assets/css/flaticon-set.css	/Users/kunozga/websites/agrica/validthemes.net/site-template/agrica/assets/css/flaticon-set.css	(from https://validthemes.net/site-template/agrica/)
18:04:43	15820/15820	---M-Z	200	added ('OK')	text/css	etag:%223dcc-65fc96b8-c595e5325f872c0e;gz%22	https://validthemes.net/site-template/agrica/assets/css/swiper-bundle.min.css	/Users/kunozga/websites/agrica/validthemes.net/site-template/agrica/assets/css/swiper-bundle.min.css	(from https://validthemes.net/site-template/agrica/)
18:04:44	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2210bfe-65fc96b8-7e06b5b8abec67ba;gz%22	https://validthemes.net/site-template/agrica/assets/css/animate.min.css	/Users/kunozga/websites/agrica/validthemes.net/site-template/agrica/assets/css/animate.min.css	(from https://validthemes.net/site-template/agrica/)
